epoch,train_or_val,batch,anatomy_axis,loss,time
0,train,54,"['Bladder_axis1', 'Uterus_axis1', 'Vagina_axis1']",0.42906877398490906,0.022365093231201172
0,train,55,"['Vagina_axis2', 'Anorectum_axis2', 'Uterus_axis1']",0.40666159987449646,0.022963523864746094
0,train,56,"['Vagina_axis0', 'Bladder_axis1', 'Uterus_axis2']",0.30683401226997375,0.021167993545532227
0,train,57,"['CTVp_axis0', 'CTVn_axis2', 'Bladder_axis2']",0.39606645703315735,0.018366575241088867
0,train,58,"['CTVn_axis0', 'Parametrium_axis0', 'CTVn_axis0']",0.24102473258972168,0.018238067626953125
0,train,59,"['CTVn_axis1', 'Uterus_axis0', 'Uterus_axis0']",0.466163694858551,0.017373085021972656
0,train,60,"['Bladder_axis1', 'Vagina_axis1', 'CTVn_axis2']",0.5715125203132629,0.023485422134399414
0,train,61,"['Anorectum_axis2', 'Uterus_axis0', 'Parametrium_axis0']",0.16508375108242035,0.02118396759033203
0,train,62,"['CTVp_axis0', 'CTVp_axis2', 'Parametrium_axis0']",0.48059606552124023,0.016415834426879883
0,train,63,"['CTVp_axis1', 'Parametrium_axis0', 'Vagina_axis2']",0.2503895163536072,0.01918196678161621
0,train,64,"['Vagina_axis0', 'CTVn_axis0', 'CTVn_axis0']",0.17192724347114563,0.01935410499572754
0,train,65,"['Bladder_axis2', 'Vagina_axis0', 'CTVp_axis1']",0.2874884307384491,0.01980423927307129
0,train,66,"['Bladder_axis2', 'Parametrium_axis0', 'CTVp_axis1']",0.44549116492271423,0.016068458557128906
0,train,67,"['Bladder_axis1', 'CTVp_axis2', 'CTVn_axis0']",0.27966171503067017,0.01701951026916504
0,train,68,"['Anorectum_axis0', 'Vagina_axis1', 'Uterus_axis0']",0.2937013804912567,0.025829076766967773
0,train,69,"['CTVp_axis1', 'CTVn_axis2', 'CTVn_axis1']",0.20975539088249207,0.024341583251953125
0,train,70,"['Vagina_axis0', 'Anorectum_axis0', 'Vagina_axis2']",0.5155468583106995,0.023818254470825195
0,train,71,"['Uterus_axis2', 'Uterus_axis2', 'CTVp_axis1']",0.20303192734718323,0.022614002227783203
0,train,72,"['Anorectum_axis0', 'CTVn_axis2', 'CTVn_axis1']",0.4132600426673889,0.02664923667907715
0,train,73,"['CTVp_axis0', 'Vagina_axis2', 'Vagina_axis0']",0.32626429200172424,0.017758607864379883
0,train,74,"['CTVp_axis0', 'Parametrium_axis2', 'Vagina_axis1']",0.2924885153770447,0.021210670471191406
0,train,75,"['CTVn_axis0', 'Parametrium_axis2', 'Anorectum_axis2']",0.316852331161499,0.021329641342163086
0,train,76,"['Uterus_axis2', 'Uterus_axis1', 'Vagina_axis1']",0.2914144992828369,0.021387338638305664
0,train,77,"['Anorectum_axis2', 'CTVn_axis2', 'Anorectum_axis1']",0.5381001234054565,0.021987199783325195
0,train,78,"['Parametrium_axis1', 'Uterus_axis2', 'CTVp_axis1']",0.22548086941242218,0.027327537536621094
0,train,79,"['Bladder_axis2', 'Vagina_axis1', 'Parametrium_axis2']",0.30737024545669556,0.0158689022064209
0,train,80,"['Bladder_axis2', 'Vagina_axis2', 'CTVn_axis2']",0.31006795167922974,0.025748729705810547
0,train,81,"['Anorectum_axis2', 'Parametrium_axis2', 'Anorectum_axis2']",0.30334487557411194,0.02274012565612793
0,train,82,"['Bladder_axis2', 'Vagina_axis0', 'Bladder_axis2']",0.18840306997299194,0.028174400329589844
0,train,83,"['CTVn_axis2', 'CTVp_axis2', 'Vagina_axis1']",0.31376951932907104,0.017461538314819336
0,train,84,"['Bladder_axis0', 'Uterus_axis2', 'CTVn_axis2']",0.31153929233551025,0.01681041717529297
0,train,85,"['CTVn_axis2', 'CTVn_axis0', 'CTVn_axis0']",0.33610090613365173,0.024846315383911133
0,train,86,"['Parametrium_axis0', 'Parametrium_axis0', 'Anorectum_axis0']",0.3436814546585083,0.025428056716918945
0,train,87,"['Parametrium_axis0', 'Uterus_axis0', 'Parametrium_axis1']",0.4440833032131195,0.023783206939697266
0,train,88,"['Anorectum_axis0', 'CTVn_axis0', 'Vagina_axis0']",0.3768523335456848,0.02255082130432129
0,train,89,"['CTVn_axis2', 'CTVp_axis1', 'Anorectum_axis0']",0.23899301886558533,0.02013874053955078
0,train,90,"['Uterus_axis0', 'Bladder_axis2', 'Anorectum_axis0']",0.08657371252775192,0.020273208618164062
0,train,91,"['Parametrium_axis1', 'Bladder_axis1', 'CTVp_axis1']",0.08020642399787903,0.01809978485107422
0,train,92,"['Bladder_axis1', 'CTVn_axis2', 'Uterus_axis2']",0.47488418221473694,0.02292156219482422
0,train,93,"['Anorectum_axis1', 'Anorectum_axis1', 'Uterus_axis1']",0.37700149416923523,0.024550676345825195
0,train,94,"['Parametrium_axis0', 'Bladder_axis1', 'CTVn_axis2']",0.1152113527059555,0.02364802360534668
0,train,95,"['Anorectum_axis1', 'Anorectum_axis2', 'CTVp_axis1']",0.2511722445487976,0.020933151245117188
0,train,96,"['Parametrium_axis2', 'Vagina_axis0', 'Uterus_axis2']",0.3316938281059265,0.020962953567504883
0,train,97,"['Anorectum_axis0', 'Vagina_axis0', 'Vagina_axis1']",0.547046959400177,0.024573802947998047
0,train,98,"['CTVp_axis1', 'Anorectum_axis0', 'Uterus_axis2']",0.19884775578975677,0.027307987213134766
0,train,99,"['CTVn_axis2', 'CTVn_axis1', 'CTVn_axis0']",0.3195613920688629,0.021941423416137695
0,train,100,"['CTVp_axis1', 'CTVp_axis1', 'Bladder_axis0']",0.074819415807724,0.02367568016052246
